,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
89,600202.SH,20230811,5.61,5.61,5.47,5.5,5.55,-0.05,-0.9009,53138.0,29289.69
90,600202.SH,20230810,5.52,5.57,5.5,5.55,5.51,0.04,0.726,28213.0,15621.788
91,600202.SH,20230809,5.66,5.66,5.48,5.51,5.65,-0.14,-2.4779,64316.1,35729.328
92,600202.SH,20230808,5.69,5.71,5.62,5.65,5.64,0.01,0.1773,44025.5,24896.415
93,600202.SH,20230807,5.67,5.73,5.61,5.64,5.7,-0.06,-1.0526,59703.0,33715.714
94,600202.SH,20230804,5.83,5.86,5.7,5.7,5.81,-0.11,-1.8933,69279.0,39779.979
95,600202.SH,20230803,5.83,5.88,5.75,5.81,5.88,-0.07,-1.1905,58839.01,34126.319
96,600202.SH,20230802,5.92,5.94,5.83,5.88,5.92,-0.04,-0.6757,68292.62,40068.384
97,600202.SH,20230801,6.03,6.04,5.8,5.92,6.0,-0.08,-1.3333,95226.0,56263.092
98,600202.SH,20230731,5.83,6.02,5.82,6.0,5.88,0.12,2.0408,118944.01,70543.508
99,600202.SH,20230728,5.95,5.96,5.8,5.88,5.97,-0.09,-1.5075,125217.99,73444.561
100,600202.SH,20230727,5.78,6.03,5.77,5.97,5.78,0.19,3.2872,216259.0,128176.197
101,600202.SH,20230726,5.79,5.83,5.74,5.78,5.78,0.0,0.0,56160.62,32395.167
102,600202.SH,20230725,5.76,5.85,5.73,5.78,5.73,0.05,0.8726,65170.0,37648.774
103,600202.SH,20230724,5.66,5.82,5.61,5.73,5.66,0.07,1.2367,67732.0,38786.532
104,600202.SH,20230721,5.73,5.76,5.63,5.66,5.72,-0.06,-1.049,68737.01,39037.756
105,600202.SH,20230720,5.8,5.85,5.7,5.72,5.83,-0.11,-1.8868,91135.77,52468.705
106,600202.SH,20230719,5.89,5.9,5.78,5.83,5.88,-0.05,-0.8503,102672.01,59832.786
107,600202.SH,20230718,5.95,5.95,5.83,5.88,5.96,-0.08,-1.3423,134196.12,78857.62
108,600202.SH,20230717,6.0,6.03,5.85,5.96,6.07,-0.11,-1.8122,225196.72,132975.204
109,600202.SH,20230714,5.87,6.31,5.78,6.07,5.86,0.21,3.5836,290008.62,175917.838
110,600202.SH,20230713,5.78,5.94,5.7,5.86,5.79,0.07,1.209,174397.46,102150.926
111,600202.SH,20230712,5.91,5.99,5.77,5.79,5.92,-0.13,-2.1959,203977.65,119229.684
112,600202.SH,20230711,5.66,6.25,5.61,5.92,5.68,0.24,4.2254,345540.01,205571.37
113,600202.SH,20230710,5.63,5.75,5.6,5.68,5.67,0.01,0.1764,81268.01,46062.14
114,600202.SH,20230707,5.63,5.8,5.57,5.67,5.61,0.06,1.0695,114616.0,65089.564
115,600202.SH,20230706,5.58,5.64,5.53,5.61,5.59,0.02,0.3578,55077.68,30865.586
116,600202.SH,20230705,5.62,5.66,5.58,5.59,5.65,-0.06,-1.0619,55158.0,30953.626
117,600202.SH,20230704,5.62,5.68,5.58,5.65,5.61,0.04,0.713,73796.0,41590.324
118,600202.SH,20230703,5.57,5.7,5.56,5.61,5.59,0.02,0.3578,87091.0,48829.443
119,600202.SH,20230630,5.54,5.61,5.46,5.59,5.49,0.1,1.8215,109800.0,61288.706
